INCITS	pop2013	votes_dem	votes_gop	total_votes	pop_estimate
21085	25997	1959	8219	10564	25997
21087	11180	832	4372	5331	11180
21089	36519	4146	11546	16265	36519
21091	8687	1244	2788	4292	8687
21093	108191	13944	26970	43113	108191
21095	28499	1372	9129	10744	28499
21097	18518	2031	5435	7774	18518
21099	18573	1730	5320	7261	18573
21101	46347	6707	12159	19692	46347
21103	15445	1828	4944	7142	15445
21105	4745	449	1657	2157	4745
21107	46634	4310	15277	20325	46634
21109	13427	482	4889	5497	13427
21111	756832	190824	143758	352778	756832
21113	50173	6144	15474	23292	50173
21115	23449	1250	8043	9560	23449
21117	163145	24213	42958	71905	163145
21119	15976	1245	4357	5756	15976
21121	31790	1761	9885	12001	31790
21123	14064	1278	4799	6359	14064
21125	59563	3440	20592	24811	59563
21127	15856	1045	4816	6037	15856
21129	7260	444	2151	2663	7260
21131	11019	400	4015	4487	11019
21133	23619	1542	7293	9131	23619
21135	13806	785	4363	5293	13806
21137	24370	1865	7338	9555	24370
21139	9359	887	3570	4642	9359
21141	26876	2755	7778	10896	26876
21143	8451	1045	2789	3959	8451
21145	65373	9134	20774	31284	65373
21147	17989	664	5012	5772	17989
21149	9496	988	3381	4565	9496
21151	85590	11793	23431	37318	85590
21153	12950	1172	3824	5113	12950
21155	20045	2679	5122	8108	20045
21157	31107	3672	12322	16678	31107
21159	12647	363	3503	3951	12647
21161	17278	1970	4944	7212	17278
21163	29210	3026	8660	12223	29210
21165	6288	700	2010	2779	6288
21167	21349	2395	7740	10579	21349
21169	9983	976	3491	4616	9983
21171	10681	601	4278	4991	10681
21173	27251	3158	7856	11437	27251
21175	13380	1006	3628	4766	13380
21177	31179	3272	9393	13046	31179
21179	44540	6434	13430	20761	44540
21181	7039	787	1957	2837	7039
21183	23988	2080	7942	10398	23988
21185	62364	10268	20469	32838	62364
21187	10662	1062	3745	4997	10662
21189	4654	256	1474	1757	4654
21191	14570	1164	4604	6006	14570
21193	28010	2136	8158	10566	28010
21195	63380	4277	19740	24637	63380
21197	12494	1272	3513	4952	12494
21199	63907	4208	22900	28015	63907
21201	2235	222	759	1013	2235
21203	16693	915	5609	6686	16693
21205	23527	3295	5174	8829	23527
21207	17752	1093	6863	8171	17752
21209	49947	7713	15052	24159	49947
21211	44216	6276	13196	20563	44216
21213	17793	2144	5077	7524	17793
21215	17637	1921	7196	9509	17637
21217	24649	2553	8320	11301	24649
21219	12503	1042	3612	4771	12503
21221	14293	1587	4928	6740	14293
21223	8816	879	2771	3786	8816
21225	15029	1331	4701	6209	15029
21227	118370	16966	28673	48416	118370
21229	11875	1420	4013	5621	11875
21231	20678	1431	6370	7988	20678
21233	13452	1240	4397	5804	13452
21235	35766	2067	11312	13765	35766
21237	7248	753	1804	2634	7248
21239	25275	4958	7697	13547	25275
22001	62204	5638	21159	27386	62204
22003	25537	2106	6867	9245	25537
22005	114393	16471	36135	54663	114393
22007	23187	3931	6714	10904	23187
22009	41299	5032	11163	16581	41299
22011	36167	2393	12238	15078	36167
22013	13981	3129	3756	7005	13981
22015	123823	12638	35451	49818	123823
22017	254887	53448	48977	105737	254887
22019	195296	26293	54182	83773	195296
22021	9989	788	3822	4692	9989
22023	6744	323	3256	3692	6744
22025	10238	1322	3479	4856	10238
22027	16650	2717	3585	6421	16650
22029	20442	3272	5474	8869	20442
22031	27083	5163	8067	13497	27083
22033	445227	102711	84620	196332	445227
22035	7529	1838	1059	2939	7529
22037	19728	4235	5569	10042	19728
22039	33578	4208	10357	14879	33578
22041	20571	2506	6514	9162	20571
22043	22030	1181	7406	8819	22030
22045	73878	10698	20903	32454	73878
22047	33367	8324	7320	16043	33367
22049	16112	2139	5169	7464	16112
22051	434767	73540	100292	181388	434767
22053	31301	3080	10775	14277	31301
22055	230845	32726	68191	105599	230845
22057	97141	8423	31958	41644	97141
22059	14777	605	5835	6568	14777
22061	47414	7102	10761	18664	47414
22063	134053	6950	48797	57700	134053
22065	11927	2744	1927	4732	11927
22067	27057	5155	6502	11852	27057
22069	39138	7143	8965	16617	39138
22071	378715	133833	24267	165619	378715
22073	156220	24420	41712	67987	156220
22075	23550	3347	6900	10572	23550
22077	22499	4764	6789	11761	22499
22079	132723	18318	36814	56838	132723
22081	8894	1938	2391	4422	8894
22083	20857	3157	6286	9596	20857
22085	24235	1703	7877	9785	24235
22087	43482	4957	10232	15807	43482
22089	52617	8558	16620	26190	52617
22091	10875	3353	2497	5964	10875
22093	21752	6418	5456	12085	21752
22095	43761	12658	7569	20740	43761
22097	83454	17208	21966	39970	83454
22099	52936	8266	16872	25749	52936
22101	53543	8050	14353	22871	53543
22103	242333	27716	90914	124389	242333
22105	125412	16869	33933	52381	125412
22107	4908	1329	1180	2543	4908
22109	112749	10664	31900	43893	112749
22111	22344	2691	7972	10894	22344
22113	59253	4745	19807	25253	59253
22115	52606	2665	13471	16633	52606
22117	46419	5690	12552	18622	46419
22119	40678	6259	11538	18140	40678
22121	24573	5382	6926	12710	24573
22123	11465	715	3970	4759	11465
22125	15444	2247	3390	5798	15444
22127	14813	1643	4605	6368	14813
23001	107604	22975	28189	55340	107604
23003	70055	13377	19419	34963	70055
23005	285456	102935	57697	171249	285456
23007	30495	7001	7900	16382	30495
23009	54845	16107	13682	31983	54845
23011	121164	29296	31753	65999	121164
23013	39550	12440	9148	23021	39550
23015	34088	10241	9727	21432	34088
23017	57277	12172	16214	31094	57277
23019	153364	32832	41601	80228	153364
23021	17124	3098	5403	9144	17124
23023	35013	10679	9304	21596	35013
23025	51706	9092	14998	25968	51706
23027	38940	10442	10378	22630	38940
23029	32190	6358	9037	16559	32190
23031	199431	55828	50388	113962	199431
24001	73521	6665	20025	27804	73521
24003	555743	116074	114509	242939	555743
24005	823015	189437	131009	335017	823015
24009	90484	16669	24680	43445	90484
24011	32693	3747	8999	13282	32693
24013	167564	24314	55593	84879	167564
24015	101913	12651	27579	42309	101913
24017	152864	46063	24163	72480	152864
24019	32660	5695	7938	14034	32660
24021	241409	51891	56472	114962	241409
24023	29889	2252	10189	12905	29889
24025	249215	43803	74261	124224	249215
24027	304580	93808	44792	146401	304580
24029	19944	4178	4598	9166	19944
24031	1016677	309761	82985	408300	1016677
24033	890081	313627	29290	351091	890081
24035	48517	7316	16211	24633	48517
24037	109633	15786	26889	45169	109633
24039	26273	3484	5056	8768	26273
24041	37931	7865	10098	18731	37931
24043	149588	19193	38842	60731	149588
24045	100896	16327	20832	38722	100896
24047	51620	8783	15910	25571	51620
24510	622104	178562	22726	208980	622104
25001	214990	71632	53842	132667	214990
25003	129585	43540	16799	64507	129585
25005	552780	127619	104775	246068	552780
25007	17256	8338	2474	11434	17256
25009	762550	220027	135405	376140	762550
25011	71221	24369	10327	37987	71221
25013	467319	110313	78230	200220	467319
25015	159596	54572	22089	82329	159596
25017	1552802	508919	216163	767337	1552802
25019	10399	4144	1892	6404	10399
25021	687802	219129	119171	357781	687802
25023	501915	133828	114722	264168	501915
25025	755503	241212	50042	303517	755503
25027	809106	197126	157138	380972	809106
26001	10578	1732	4201	6179	10578
26003	9522	1663	2585	4513	9522
26005	112531	17932	33812	55153	112531
26007	29091	4877	9090	14688	29091
26009	23370	4448	8469	13572	23370
26011	15487	2238	4704	7457	15487
26013	8695	1156	2158	3486	8695
26015	59097	9109	19197	30265	59097
26017	106832	21641	28327	52932	106832
26019	17428	4108	5539	10221	17428
26021	155252	29496	38646	71882	155252
26023	43649	4740	11025	16490	43649
26025	135012	24154	31489	58786	135012
26027	51910	7270	14241	23272	51910
26029	26129	5137	8674	14567	26129
26031	25726	4302	8680	13647	25726
26033	38696	5378	9120	15434	38696
26035	30569	4250	8507	13385	30569
26037	76739	16490	21635	40564	76739
26039	13904	2110	4354	6833	13904
26041	36905	6431	11112	18467	36905
26043	26098	3923	8580	13140	26098
26045	108348	24534	27608	55686	108348
26047	33140	6972	10616	18774	33140
26049	415376	102744	84174	196135	415376
26051	25493	3794	8124	12472	25493
26053	15916	2925	4019	7313	15916
26055	89987	20964	27412	51460	89987
26057	41968	5665	9878	16442	41968
26059	46101	4799	14094	19880	46101
26061	36225	6018	8475	15623	36225
26063	32224	4579	10629	15848	32224
26065	282234	81266	44354	133478	282234
26067	64073	8206	16374	26364	64073
26069	25429	4344	8344	13349	25429
26071	11516	2004	3675	5910	11516
26073	70436	11404	12338	25344	70436
26075	160369	25795	39793	69567	160369
26077	256725	67142	51031	125966	256725
26079	17196	2279	6213	8920	17196
26081	621700	138567	147959	306270	621700
26083	2191	527	814	1429	2191
26085	11386	1939	3159	5328	11386
26087	88389	12734	30037	45126	88389
26089	21747	6774	7239	14757	21747
26091	99188	16750	26428	45895	99188
26093	184443	34378	65665	105577	184443
26095	6502	681	1756	2576	6502
26097	11061	2085	3740	6088	11061
26099	854769	176238	224589	418773	854769
26101	24450	4979	6915	12598	24450
26103	67700	16042	14646	32897	67700
26105	28605	5281	8505	14658	28605
26107	43108	5827	10305	17149	43108
26109	23791	3539	6704	10765	23791
26111	83919	15655	23877	42379	83919
26113	15051	1565	5386	7301	15051
26115	150376	26859	43255	74101	150376
26117	63105	7874	16907	26556	63105
26119	9350	1286	3498	5008	9350
26121	171008	36640	35962	77114	171008
26123	48001	6212	15174	22605	48001
26125	1231640	342976	289127	663255	1231640
26127	26245	3973	7228	11903	26245
26129	21234	3030	6827	10386	21234
26131	6322	1175	2069	3420	6322
26133	23259	2705	7336	10597	23259
26135	8379	1044	2843	4062	8379
26137	24129	3556	8266	12529	24129
26139	272701	46276	90456	145405	272701
26141	13062	2400	4486	7215	13062
26143	24014	4287	8141	13036	24014
26145	196542	44395	45469	94198	196542
26147	160469	24553	49067	77994	160469
26149	60964	7529	14886	23765	60964
26151	41823	4873	13446	19243	41823
26153	8247	1369	2556	4151	8247
26155	68900	12547	19232	34044	68900
26157	54263	7493	17421	26157	54263
26159	75455	13258	17890	33213	75455
26161	354240	128025	50335	187201	354240
26163	1775273	517842	228908	775450	1775273
26165	32645	4436	10000	15279	32645
27001	15742	3134	5516	9185	15742
27003	339534	75499	93341	184084	339534
27005	33231	5208	10880	17090	33231
27007	45670	8688	10783	21316	45670
27009	39214	5640	12872	19911	39214
27011	5122	921	1607	2729	5122
27013	65528	14428	15667	33256	65528
27015	25332	3763	8708	13663	25332
27017	35460	8460	8160	18059	35460
27019	95562	21508	29057	55102	95562
27021	28555	4949	9982	15885	28555
27023	12093	1978	3764	6182	12093
27025	53761	9279	18441	30009	53761
27027	60661	12974	13549	29108	60661
27029	8838	1100	2925	4225	8838
27031	5200	1912	1156	3360	5200
27033	11616	1678	3679	5697	11616
27035	63208	10982	22287	35568	63208
27037	408509	110251	99624	228659	408509
27039	20349	3102	6527	10564	20349
27041	36545	6227	13966	21623	36545
27043	14191	2153	4659	7355	14191
27045	20835	3872	6271	10976	20835
27047	30948	6041	8808	15929	30948
27049	46464	9446	14041	25538	46464
27051	5989	1104	2063	3453	5989
27053	1198778	429283	191768	672644	1198778
27055	18799	4145	5616	10515	18799
27057	20658	3432	7269	11423	20658
27059	38204	5656	13635	20875	38204
27061	45564	9015	12920	23650	45564
27063	10260	1492	3609	5453	10260
27065	15996	2327	5230	8125	15996
27067	42410	7266	12785	21648	42410
27069	4503	823	1349	2363	4503
27071	13206	2306	3569	6313	13206
27073	7027	1301	2294	3835	7027
27075	10777	3077	2932	6472	10777
27077	3929	553	1540	2230	3929
27079	27810	4623	9182	14867	27810
27081	5830	860	1930	3002	5830
27083	25487	3825	7256	12129	25487
27085	35918	4978	12155	18684	35918
27087	5532	930	991	2074	5532
27089	9425	1225	3208	4794	9425
27091	20422	2733	7062	10469	20422
27093	23119	3192	8103	12198	23119
27095	25833	3709	8340	12948	25833
27097	32872	3637	12925	17534	32872
27099	39327	7444	8826	17587	39327
27101	8533	1295	2974	4642	8533
27103	33032	7886	8436	17914	33032
27105	21617	2733	5299	8592	21617
27107	6631	1264	1699	3232	6631
27109	149226	36266	35668	79277	149226
27111	57581	9339	20939	32284	57581
27113	14118	2146	4000	6671	14118
27115	29104	4580	8191	13729	29104
27117	9270	1127	3338	4779	9270
27119	31569	4712	8979	14698	31569
27121	10932	2106	3793	6294	10932
27123	526714	176929	70778	269161	526714
27125	4057	540	1141	1871	4057
27127	15744	1887	5137	7566	15744
27129	15166	2117	4890	7563	15166
27131	65049	14437	15429	32217	65049
27133	9520	1373	3091	4807	9520
27135	15520	1856	5451	7767	15520
27137	200540	57769	44631	111260	200540
27139	137232	28502	39948	74390	137232
27141	90158	13299	31049	47938	90158
27143	15072	1954	5193	7727	15072
27145	152092	25575	47618	78985	152092
27147	36465	6239	11198	19040	36465
27149	9735	2116	2800	5350	9735
27151	9546	1679	2962	4968	9546
27153	24382	2783	8485	11944	24382
27155	3445	631	1050	1791	3445
27157	21443	3866	6989	11764	21443
27159	13804	1684	4837	6894	13804
27161	19098	2838	5967	9579	19098
27163	246603	67086	64429	142843	246603
27165	11137	1814	2768	4971	11137
27167	6557	893	2129	3279	6557
27169	51232	11366	12122	25852	51232
27171	128470	20336	43274	69154	128470
27173	10143	1524	3382	5253	10143
28001	32090	6921	5125	12214	32090
28003	37316	2684	11817	14781	37316
28005	12899	2688	4282	7033	12899
28007	19317	2847	4288	7242	19317
28009	8571	1713	2240	3996	8571
28011	34049	8410	4251	12831	34049
28013	14734	1884	4360	6339	14734
28015	10385	1648	3774	5470	10385
28017	17311	3649	4127	7890	17311
28019	8371	1198	2763	4020	8371
28021	9253	2523	414	2954	9253
28023	16415	2556	5088	7713	16415
28025	20408	5695	4136	9960	20408
28027	25182	6378	2426	8912	25182
28029	28921	6203	5576	11906	28921
28031	19423	3267	5423	8790	19423
28033	168240	19892	42155	64022	168240
28035	77059	11271	15149	27284	77059
28037	7931	1471	2685	4219	7931
28039	23159	1013	8652	9831	23159
28041	14244	956	4309	5325	14244
28043	21612	4386	5940	10442	21612
28045	45566	3320	13720	17517	45566
28047	196500	20679	39710	62076	196500
28049	244899	64922	24919	91536	244899
28051	18428	5820	1151	7045	18428
28053	8922	2652	924	3599	8922
28055	1395	395	298	699	1395
28057	23434	1100	8385	9634	23434
28059	140450	13087	31204	45465	140450
28061	16470	4367	4032	8468	16470
28063	7629	3337	489	3859	7629
28065	11948	3720	2466	6237	11948
28067	68961	7748	20076	28250	68961
28069	10294	2827	1778	4639	10294
28071	51318	7968	10872	19642	51318
28073	58801	5044	18493	24179	58801
28075	80254	10910	17574	28967	80254
28077	12514	2181	4072	6329	12514
28079	23389	3579	4775	8436	23389
28081	85340	9635	21695	31974	85340
28083	31607	6677	2757	9566	31607
28085	34810	4458	10550	15193	34810
28087	59922	11545	13124	25139	59922
28089	100412	18358	25607	45048	100412
28091	26180	3572	7697	11443	26180
28093	36515	7944	6525	14698	36515
28095	36116	5485	10107	15781	36116
28097	10553	1775	2334	4162	10553
28099	29507	2668	7613	10438	29507
28101	21689	2549	5929	8594	21689
28103	11089	4330	1181	5538	11089
28105	49043	7851	7671	16151	49043
28107	34402	7300	7371	14854	34402
28109	55072	2919	15530	18893	55072
28111	12131	1220	4135	5432	12131
28113	40014	7636	7748	15633	40014
28115	30897	2123	9442	11811	30897
28117	25388	2067	7647	9871	25388
28119	7803	2303	998	3353	7803
28121	146767	13741	46168	61356	146767
28123	28273	3999	5742	9867	28273
28125	4708	1290	619	1926	4708
28127	27500	3871	7393	11416	27500
28129	16225	1598	5877	7556	16225
28131	18016	1400	4810	6368	18016
28133	27997	6560	2768	9406	27997
28135	15081	3337	2462	5870	15081
28137	28373	3804	7385	11389	28373
28139	22084	1808	7182	9143	22084
28141	19529	990	7117	8310	19529
28143	10560	2577	840	3463	10560
28145	27754	1969	9161	11374	27754
28147	14931	2475	3374	5909	14931
28149	48218	8518	9420	18287	48218
28151	49688	9847	4541	14571	49688
28153	20539	3493	5957	9534	20539
28155	9987	1001	3949	5024	9987
28157	9381	2826	1305	4174	9381
28159	18788	3778	4874	8771	18788
28161	12373	2574	3366	6058	12373
28163	27883	5221	4568	9892	27883
29001	25572	3495	6019	10137	25572
29003	17445	2045	6665	9140	17445
29005	5449	541	2059	2723	5449
29007	25661	2567	6981	10043	25661
29009	35572	2710	11427	14604	35572
29011	12275	795	4958	5932	12275
29013	16550	1617	6000	8021	16550
29015	18932	2024	7212	9584	18932
29017	12490	705	4827	5669	12490
29019	170773	41072	36146	83312	170773
29021	89631	12010	21315	35563	89631
29023	43083	3036	13647	17232	43083
29025	9097	837	3231	4309	9097
29027	44359	4988	13052	19127	44359
29029	43862	4706	16721	22182	43862
29031	77320	8468	26939	36875	77320
29033	9127	745	3480	4361	9127
29035	6291	436	2323	2842	6291
29037	100641	14816	33006	50715	100641
29039	13913	1010	5019	6278	13913
29041	7628	888	2948	3962	7628
29043	80899	8505	30941	41394	80899
29045	6910	724	2458	3316	6910
29047	230473	45182	57328	109237	230473
29049	20571	2572	7058	10197	20571
29051	76699	10907	24610	37261	76699
29053	17647	1932	5623	7976	17647
29055	24543	1824	7724	9920	24543
29057	7578	637	3184	3951	7578
29059	16535	1271	5895	7440	16535
29061	8294	730	2763	3689	8294
29063	12840	824	3540	4590	12840
29065	15730	978	5599	6778	15730
29067	13515	984	5486	6664	13515
29069	31712	2360	8026	10574	31712
29071	101816	12339	35420	50045	101816
29073	14901	1519	5670	7444	14901
29075	6775	605	2304	3033	6775
29077	283870	42400	77387	127609	283870
29079	10355	780	3462	4413	10355
29081	8741	574	2965	3682	8741
29083	22059	2356	7072	9855	22059
29085	9305	1016	3539	4717	9305
29087	4568	346	1926	2348	4568
29089	10257	1279	3277	4851	10257
29091	40393	2880	13888	17415	40393
29093	10344	933	3173	4260	10344
29095	679996	163723	114777	294063	679996
29097	116398	10565	35058	48179	116398
29099	221396	31546	68973	105969	221396
29101	54572	5924	13702	21087	54572
29103	4067	379	1413	1867	4067
29105	35667	2543	12834	15959	35667
29107	32943	4047	10977	15815	32943
29109	38185	2898	13084	16674	38185
29111	10152	933	3343	4452	10152
29113	53860	5561	18111	24857	53860
29115	12368	1239	4084	5572	12368
29117	14871	1265	4879	6408	14871
29119	22558	1329	6599	8233	22558
29121	15544	1518	5794	7579	15544
29123	12431	1005	4102	5318	12431
29125	9018	794	3559	4498	9018
29127	28904	2993	9418	12902	28904
29129	3695	216	1486	1739	3695
29131	25092	1750	9285	11414	25092
29133	14282	1458	3600	5165	14282
29135	15748	1237	5344	6808	15748
29137	8774	853	3159	4147	8774
29139	11965	1118	4124	5424	11965
29141	20265	1768	6757	8815	20265
29143	18365	1933	5270	7352	18365
29145	58845	4988	20546	26506	58845
29147	23261	2529	6379	9439	23261
29149	10996	865	3668	4664	10996
29151	13688	998	5845	7078	13688
29153	9560	724	3639	4501	9560
29155	17823	1946	3964	6025	17823
29157	19072	1520	6907	8732	19072
29159	42205	4322	12792	18045	42205
29161	44807	4761	12699	18499	44807
29163	18669	1806	5274	7375	18669
29165	93310	18915	24975	46641	93310
29167	30974	2630	10435	13709	30974
29169	53748	2918	9870	13443	53748
29171	4875	352	1936	2342	4875
29173	10192	1138	3969	5266	10192
29175	24940	2283	7529	10309	24940
29177	23039	3088	7103	10835	23039
29179	6599	540	2402	3032	6599
29181	14032	830	4520	5518	14032
29183	373495	68225	120899	199513	373495
29185	9487	936	3501	4630	9487
29186	17778	2540	5495	8459	17778
29187	66215	6250	17467	24714	66215
29189	1001444	280866	199081	503493	1001444
29195	23252	2787	5977	9245	23252
29197	4358	354	1505	1933	4358
29199	4921	365	1525	1968	4921
29201	39290	3574	13168	17244	39290
29203	8297	776	2966	3904	8297
29205	6177	606	2524	3252	6177
29207	29780	1873	11077	13278	29780
29209	31297	2886	13149	16538	31297
29211	6448	526	1884	2484	6448
29213	53575	4367	18240	23399	53575
29215	25636	1728	8875	10935	25636
29217	20949	1706	6526	8576	20949
29219	32999	3915	11109	15766	32999
29221	25172	1926	7047	9279	25172
29223	13404	946	4640	5738	13404
29225	36466	3173	12829	16690	36466
29227	2090	195	808	1046	2090
29229	18473	1166	6703	8086	18473
29510	318416	101487	20281	127403	318416
30001	9341	1115	3243	4676	9341
30003	13042	2061	1833	4148	13042
30005	6604	1187	1259	2621	6604
30007	5692	566	2329	3097	5692
30009	10340	1824	3729	5923	10340
30011	1174	70	677	777	1174
30013	82384	12053	19343	33791	82384
30015	5849	729	1676	2571	5849
30017	11951	1172	3638	5145	11951
30019	1791	167	729	952	1791
30021	9445	786	3298	4297	9445
30023	9329	2018	1736	4099	9329
30025	3079	154	1276	1474	3079
30027	11501	1196	4235	5782	11501
30029	93068	13233	30079	46144	93068
30031	94720	23879	23360	52169	94720
30033	1290	34	653	715	1290
30035	13739	3076	1598	4969	13739
30037	859	71	365	468	859
30039	3138	469	1185	1762	3138
30041	16568	2350	3446	6347	16568
30043	11512	1975	4099	6535	11512
30045	2016	232	867	1189	2016
30047	29017	4703	7453	12898	29017
30049	65338	14331	16665	33697	65338
30051	2369	205	695	949	2369
30053	19460	2040	6720	9250	19460
30055	1709	154	858	1056	1709
30057	7712	1175	3280	4708	7712
30059	1937	191	728	970	1937
30061	4275	515	1322	1974	4275
30063	111807	30740	21699	57271	111807
30065	4629	331	1961	2404	4629
30067	15682	3521	4872	9056	15682
30069	506	30	276	319	506
30071	4179	315	1715	2147	4179
30073	6211	737	1786	2692	6211
30075	1748	127	880	1047	1748
30077	6993	549	2017	2768	6993
30079	1179	100	555	686	1179
30081	40823	6166	14673	22063	40823
30083	11214	669	3885	4812	11214
30085	11125	1504	1722	3486	11125
30087	9329	969	2211	3357	9329
30089	11363	1211	4268	5871	11363
30091	3668	476	1237	1825	3668
30093	34523	8545	6252	16122	34523
30095	9318	904	3630	4816	9318
30097	3669	398	1580	2077	3669
30099	6065	803	2152	3143	6065
30101	5138	399	1495	2018	5138
30103	700	59	350	441	700
30105	7630	886	2697	3860	7630
30107	2134	179	698	932	2134
30109	1121	55	460	533	1121
30111	154162	21117	38675	64675	154162
31001	31610	3272	9205	13172	31610
31003	6456	381	2717	3220	6456
31005	458	16	237	263	458
31007	759	18	355	390	759
31009	482	30	273	313	482
31011	5388	414	2299	2867	5388
31013	11305	953	3550	4761	11305
31015	2032	128	978	1142	2032
31017	2926	153	1380	1579	2926
31019	47893	4690	14424	20477	47893
31021	6574	928	2360	3523	6574
31023	8312	690	3068	3914	8312
31025	25357	3461	8388	12609	25357
31027	8711	572	3533	4360	8711
31029	4000	171	1621	1851	4000
31031	5788	317	2623	3082	5788
31033	10091	702	3610	4569	10091
31035	6392	470	2373	2973	6392
31037	10425	857	2171	3172	10425
31039	8996	712	3095	3988	8996
31041	10792	635	4616	5489	10792
31043	20947	2904	4028	7259	20947
31045	9088	785	2559	3578	9088
31047	24207	2116	5935	8486	24207
31049	1937	120	809	977	1937
31051	5851	556	2041	2744	5851
31053	36515	4451	9736	14959	36515
31055	537256	105207	102151	219531	537256
31057	1981	89	823	949	1981
31059	5698	610	2100	2879	5698
31061	3085	250	1345	1656	3085
31063	2709	161	1106	1310	2709
31065	4865	304	1915	2315	4865
31067	21864	2930	6333	9854	21864
31069	1902	153	869	1063	1902
31071	2035	121	819	968	2035
31073	1972	165	792	1000	1972
31075	633	20	367	394	633
31077	2494	210	911	1165	2494
31079	60720	6142	14139	21331	60720
31081	9112	873	3763	4902	9112
31083	3513	219	1302	1582	3513
31085	976	30	471	510	976
31087	2872	158	1216	1440	2872
31089	10449	522	4275	4979	10449
31091	738	40	355	414	738
31093	6355	544	2284	2958	6355
31095	7560	831	2387	3430	7560
31097	5144	560	1348	2051	5144
31099	6548	550	2519	3242	6548
31101	8130	560	3203	3945	8130
31103	790	39	458	514	790
31105	3702	227	1317	1636	3702
31107	8565	715	3181	4061	8565
31109	297036	60533	60456	129803	297036
31111	36051	2878	11992	15674	36051
31113	763	32	400	451	763
31115	576	48	323	382	576
31117	526	14	257	286	526
31119	35278	2663	10518	13956	35278
31121	7802	601	2914	3707	7802
31123	4908	282	1788	2166	4908
31125	3623	280	1257	1599	3623
31127	7157	765	2068	3035	7157
31129	4413	348	1709	2153	4413
31131	15752	2017	4833	7279	15752
31133	2709	279	970	1314	2709
31135	2921	160	1202	1418	2921
31137	9213	571	3832	4609	9213
31139	7150	382	3052	3580	7150
31141	32505	2612	10864	14047	32505
31143	5275	411	2019	2538	5275
31145	11006	638	4212	5061	11006
31147	8125	798	2684	3666	8125
31149	1411	70	687	793	1411
31151	14416	1630	2849	4795	14416
31153	169331	27704	44649	77781	169331
31155	20929	2509	7486	10598	20929
31157	36848	3151	9952	13895	36848
31159	17089	1881	5451	7754	17089
31161	5251	286	2192	2565	5251
31163	3106	338	1143	1553	3106
31165	1313	77	602	709	1313
31167	6133	417	2173	2748	6133
31169	5189	490	1993	2613	5189
31171	699	30	344	387	699
31173	6895	911	1013	2029	6895
31175	4193	337	1770	2172	4193
31177	20223	2606	7374	10584	20223
31179	9411	828	2675	3740	9411
31181	3688	306	1320	1687	3688
31183	759	62	377	459	759
31185	13883	1181	4686	6256	13883
32001	24063	2210	7828	10936	24063
32003	2027868	401068	319571	765421	2027868
32005	47118	8453	17406	27871	47118
32007	52384	3400	13542	18545	52384
32009	832	65	329	423	832
32011	2076	74	723	854	2076
32013	17363	1386	4521	6433	17363
32015	6032	403	1828	2413	6032
32017	5245	285	1671	2132	5245
32019	51557	6146	16005	23762	51557
32021	4614	637	1179	1997	4614
32023	42297	5095	13320	19592	42297
32027	6877	430	1403	1982	6877
32029	3942	752	1616	2558	3942
32031	433731	97032	94529	209282	433731
32033	10057	707	2723	3773	10057
32510	54080	9610	13125	25016	54080
33001	60179	13517	19315	34462	60179
33003	47499	12987	14635	29063	47499
33005	76610	22064	16876	41080	76610
33007	31997	6558	7951	15255	31997
33009	89629	28510	19010	50065	89629
33011	403985	99589	100013	210622	403985
33013	146849	40198	37674	81982	146849
33015	299134	79994	90447	179005	299134
33017	124593	34894	29072	67918	124593
33019	42984	10210	10796	22101	42984
34001	275862	54472	47882	105738	275862
34003	925328	209251	163220	383965	925328
34005	450838	108361	79539	194988	450838
34007	512854	142375	71020	220437	512854
34009	95897	18626	28237	48375	95897
34011	157332	27045	24213	53018	157332
34013	789565	231031	62059	299808	789565
34015	290265	66355	66949	138388	290265
34017	660282	149980	45615	201425	660282
34019	126250	28797	38565	70582	126250
34021	370414	93721	42604	141332	370414
34023	828919	164887	108981	282668	828919
34025	629672	135825	165305	311474	629672
34027	499397	114437	125376	248848	499397
34029	583414	81845	170103	259592	583414
34031	505672	112608	71488	189099	505672
34033	65166	11766	16256	29220	65166
34035	330585	83839	64640	154249	330585
34037	145992	24132	46486	73860	145992
34039	548256	145412	67582	219385	548256
34041	107379	16991	29393	48442	107379
35001	674221	141960	93874	269861	674221
35003	3607	426	1453	2024	3607
35005	65823	5530	12869	20159	65823
35006	27335	3721	3179	7975	27335
35007	13094	2118	2569	5271	13094
35009	50598	2776	7560	11292	50598
35011	1907	192	617	903	1907
35013	213460	37543	25095	69324	213460
35015	55471	5008	13124	19523	55471
35017	29328	6226	5251	12633	29328
35019	4551	962	591	1809	4551
35021	693	156	311	527	693
35023	4654	780	906	1836	4654
35025	68062	3877	12306	17369	68062
35027	20105	2329	5889	8856	20105
35028	17798	5443	3329	10430	17798
35029	24659	3195	3478	7245	24659
35031	73308	13162	4893	20791	73308
35033	4704	1533	662	2429	4704
35035	65616	6033	11756	19636	65616
35037	8662	1016	2208	3550	8662
35039	40072	9534	3583	14767	40072
35041	19955	1445	3865	5855	19955
35043	136575	27405	25748	60597	136575
35045	126503	12826	27879	45476	126503
35047	28541	7249	2302	10662	28541
35049	147423	49956	14198	70082	147423
35051	11572	1600	2998	5129	11572
35053	17584	3275	2592	6756	17584
35055	33035	10550	2706	15072	33035
35057	15717	1770	3695	6250	15717
35059	4370	318	1214	1688	4370
