INCITS	pop2013	votes_dem	votes_gop	total_votes	pop_estimate
13137	43300	2483	13184	16128	43300
13139	187745	16153	51681	70133	187745
13141	8879	2695	841	3572	8879
13143	28495	1474	9579	11317	28495
13145	32663	4082	11931	16392	32663
13147	25446	2583	7285	10077	25446
13149	11558	743	3370	4206	11558
13151	211128	49902	45641	98037	211128
13153	147658	22460	35351	59559	147658
13155	9427	890	2711	3659	9427
13157	61044	4469	21754	27057	61044
13159	13601	1544	4353	6016	13601
13161	15004	901	4102	5089	15004
13163	16320	3809	3057	6934	16320
13165	9269	1108	1892	3034	9269
13167	9767	1136	2519	3682	9767
13169	28569	3960	8304	12524	28569
13171	17959	2267	5183	7575	17959
13173	10408	805	1984	2861	10408
13175	47999	6737	12401	19448	47999
13177	29071	3166	10641	14106	29071
13179	64135	9531	6125	16082	64135
13181	7751	1271	2759	4100	7751
13183	16624	1356	2623	4109	16624
13185	112916	14614	21308	36813	112916
13187	30918	2216	9613	12324	30918
13189	21565	3699	5432	9268	21565
13191	14007	2298	3482	5893	14007
13193	14009	2705	1540	4287	14009
13195	28057	2423	9195	11945	28057
13197	8640	1213	1921	3183	8640
13199	21232	3800	5216	9181	21232
13201	5932	622	1888	2540	5932
13205	23045	3492	4272	7857	23045
13207	26984	3570	8821	12675	26984
13209	9021	847	2668	3560	9021
13211	17781	2658	6559	9435	17781
13213	39267	1799	10340	12422	39267
13215	202824	39602	26901	68320	202824
13217	102446	21936	20907	43787	102446
13219	34035	5253	12885	19030	34035
13221	14548	1829	4622	6650	14548
13223	146950	18004	44646	64601	146950
13225	27014	5083	5405	10699	27014
13227	29584	1977	11651	13982	29584
13229	18938	903	6301	7297	18938
13231	17796	1239	7273	8675	17796
13233	41183	2863	11006	14158	41183
13235	11542	1104	2436	3598	11542
13237	21371	2745	6516	9431	21371
13239	2367	461	575	1044	2367
13241	16235	1443	6287	7949	16235
13243	7197	1597	1270	2895	7197
13245	202003	48707	24441	74952	202003
13247	86919	23206	13463	37589	86919
13249	5089	401	1472	1909	5089
13251	14240	2300	3305	5699	14240
13253	8945	1186	2343	3577	8945
13255	63829	9347	15636	25940	63829
13257	25683	1835	7682	9760	25683
13259	5868	1220	805	2053	5868
13261	31364	5520	5275	10973	31364
13263	6456	2001	1196	3243	6456
13265	1703	545	349	897	1703
13267	25526	1678	5092	6879	25526
13269	8464	1295	2062	3402	8464
13271	16591	1313	2449	3794	16591
13273	9022	2267	1872	4179	9022
13275	44869	7138	11225	18730	44869
13277	40286	3892	8680	12796	40286
13279	27273	2338	6612	9108	27273
13281	10771	1206	5377	6726	10771
13283	6712	860	1808	2700	6712
13285	69053	9597	15643	25793	69053
13287	8134	1243	2094	3390	8134
13289	8481	1970	2034	4053	8481
13291	21566	1962	9849	12039	21566
13293	26566	3471	7288	10924	26566
13295	68198	4213	18938	23939	68198
13297	85754	8279	31093	40425	85754
13299	35709	3436	8508	12150	35709
13301	5558	1313	991	2332	5558
13303	20676	4187	4138	8422	20676
13305	30077	2039	8147	10376	30077
13307	2719	471	630	1114	2719
13309	7909	646	1421	2102	7909
13311	27797	1672	9751	11771	27797
13313	102945	7925	21514	30362	102945
13315	8960	852	2096	2973	8960
13317	10010	1844	2569	4470	10010
13319	9432	1893	2332	4276	9432
13321	21291	2015	6144	8266	21291
16001	416464	75676	93748	195587	416464
16003	3828	415	1556	2183	3828
16005	83249	10342	17180	33405	83249
16007	5943	255	2203	2928	5943
16009	9044	780	3101	4192	9044
16011	45290	2924	10907	16625	45290
16013	21329	6416	3340	10723	21329
16015	6795	777	2673	3812	6795
16017	40699	5140	10220	16815	40699
16019	107517	8930	26699	44212	107517
16021	10853	933	3789	5150	10853
16023	2642	160	914	1230	2642
16025	1042	110	410	599	1042
16027	198871	16683	46755	72007	198871
16029	6808	271	2275	3035	6808
16031	23331	1036	5949	8178	23331
16033	867	44	203	283	867
16035	8577	704	2852	3801	8577
16037	4249	427	1777	2413	4249
16039	26170	1814	5816	8519	26170
16041	12854	385	3901	5499	12854
16043	12927	651	4091	5714	12927
16045	16686	1229	5980	7952	16686
16047	15080	930	3743	5191	15080
16049	16116	1196	6441	8223	16116
16051	26914	976	8436	11471	26914
16053	22514	2117	7347	10667	22514
16055	144265	16264	44449	66286	144265
16057	38078	8093	7255	18146	38078
16059	7712	733	3011	4068	7712
16061	3902	270	1202	1590	3902
16063	5315	360	1184	1748	5315
16065	37450	1201	8941	15687	37450
16067	20292	1167	4887	6870	20292
16069	39915	4828	10699	17195	39915
16071	4275	184	1531	2068	4275
16073	11472	591	3052	3920	11472
16075	22610	892	4306	5703	22610
16077	7719	699	1666	2758	7719
16079	12690	1384	3297	5120	12690
16081	10275	2157	2161	4966	10275
16083	79957	6844	21063	31893	79957
16085	9606	1913	2906	5349	9606
16087	9944	776	3283	4454	9944
17001	67130	7633	22732	31770	67130
17003	7629	1262	1496	2820	7629
17005	17470	2066	4884	7462	17470
17007	53957	8952	12261	22604	53957
17009	6860	475	1776	2336	6860
17011	34056	6010	9264	16303	34056
17013	5059	739	1719	2556	5059
17015	14910	2437	4428	7354	14910
17017	13324	1617	3216	5054	13324
17019	204897	49694	33235	89196	204897
17021	34298	3982	10522	15310	34298
17023	16182	1873	5620	7819	16182
17025	13566	1014	5009	6278	13566
17027	37907	3939	12394	17268	37907
17029	53697	7285	12985	21580	53697
17031	5240700	1528582	440213	2055215	5240700
17033	19505	1969	6146	8507	19505
17035	10939	1028	4200	5513	10939
17037	104741	20348	19051	42605	104741
17039	16420	1907	5072	7469	16420
17041	19887	1946	5695	8089	19887
17043	932126	222499	164355	412929	932126
17045	17960	1778	5634	7783	17960
17047	6672	432	2777	3312	6672
17049	34307	3071	13613	17428	34307
17051	22060	1814	7363	9515	22060
17053	13832	1410	4474	6289	13832
17055	39202	4711	13101	18533	39202
17057	36346	6118	8482	15609	36346
17059	5415	656	1942	2691	5415
17061	13629	1202	4139	5542	13629
17063	50228	8021	13417	22891	50228
17065	8368	800	3205	4143	8368
17067	18618	1744	5713	7818	18618
17069	4181	419	1650	2133	4181
17071	6990	1151	2153	3480	6990
17073	49860	8835	13962	24232	49860
17075	28982	2496	9728	12923	28982
17077	59814	11619	10889	24509	59814
17079	9592	924	3973	5104	9592
17081	38644	4408	11681	16818	38644
17083	22641	2673	7737	10909	22641
17085	22407	4452	6113	11177	22407
17087	12677	1135	4644	6017	12677
17089	523643	99389	82087	193500	523643
17091	112120	18908	25081	46556	112120
17093	119348	23392	24152	50815	119348
17095	52078	9939	10658	21964	52078
17097	703019	168186	108608	293574	703019
17099	112183	19277	26269	48447	112183
17101	16558	1288	4517	6039	16558
17103	34858	5499	8597	15215	34858
17105	38186	4005	10197	15096	38186
17107	29964	3301	8167	12130	29964
17109	32464	5278	6789	12910	32464
17111	307409	59827	71117	140145	307409
17113	174647	35918	37081	78995	174647
17115	109278	18211	26782	47283	109278
17117	46880	6532	14194	21881	46880
17119	267225	50336	70295	127902	267225
17121	38622	4231	11677	16600	38622
17123	12153	1784	3776	5903	12153
17125	14248	2008	4051	6433	14248
17127	15073	1555	4844	6633	15073
17129	12607	1808	4230	6423	12607
17131	16178	3061	4800	8417	16178
17133	33493	5522	12614	19074	33493
17135	29654	3490	8616	12829	29654
17137	35067	4693	9060	14607	35067
17139	14876	1476	4453	6209	14876
17141	52385	8025	14344	23798	52385
17143	188429	37436	35299	77465	188429
17145	21887	2433	6816	9706	21887
17147	16433	2633	5623	8899	16433
17149	16150	1412	5749	7458	16150
17151	4312	374	1678	2132	4312
17153	5908	817	1583	2473	5908
17155	5801	1143	1762	3076	5801
17157	32890	3421	9992	14032	32890
17159	16182	1579	5736	7630	16182
17161	147258	32258	26969	62971	147258
17163	266955	60180	53479	119201	266955
17165	24939	2551	8248	11234	24939
17167	199145	40731	49823	96472	199145
17169	7444	1074	2523	3792	7444
17171	5222	528	1965	2583	5222
17173	22119	2279	8209	10912	22119
17175	5907	748	1777	2707	5907
17177	46740	7531	10845	19525	46740
17179	136352	20568	38620	63347	136352
17181	17583	2389	5780	8514	17583
17183	80329	9876	18582	29799	80329
17185	11665	1146	4039	5402	11665
17187	17726	2983	4267	7700	17726
17189	14448	1446	5566	7376	14448
17191	16612	1048	6963	8256	16612
17193	14549	1412	5639	7289	14549
17195	57557	11005	12597	25210	57557
17197	682829	146230	129726	291010	682829
17199	66924	8539	21503	31422	66924
17201	290666	52595	53922	113027	290666
17203	39273	5068	13180	19389	39273
18001	34614	2802	9642	13039	34614
18003	363014	55222	83801	145787	363014
18005	79587	9841	20637	32389	79587
18007	8767	860	2579	3654	8767
18009	12481	1243	3349	4822	12481
18011	60477	10181	19654	32061	60477
18013	15023	2518	5015	7908	15023
18015	20086	1891	6273	8609	20086
18017	38463	3758	9697	14135	38463
18019	112938	18791	30012	51104	112938
18021	26803	2306	8528	11259	26803
18023	32916	2819	8530	11896	32916
18025	10621	1323	3013	4591	10621
18027	32407	1800	8545	10736	32407
18029	49904	4883	18110	23910	49904
18031	26277	2121	8488	11095	26277
18033	42307	3941	12054	16816	42307
18035	117484	18100	24217	44699	117484
18037	42361	5389	13365	19917	42361
18039	200563	20667	41810	65187	200563
18041	23861	2252	6839	9530	23861
18043	76244	13939	21427	37225	76244
18045	16880	1476	5661	7474	16880
18047	22951	1967	8665	10990	22951
18049	20449	1960	6010	8374	20449
18051	33612	3720	11079	15472	33612
18053	69126	7029	17009	25239	69126
18055	32781	2929	10275	13763	32781
18057	296693	57214	87299	153630	296693
18059	71575	8901	25050	36027	71575
18061	39163	4776	12993	18528	39163
18063	153879	22595	48326	75258	153879
18065	49044	5124	13895	20075	49044
18067	82760	11215	23675	36754	82760
18069	36791	3506	11649	15974	36791
18071	43466	3843	12857	17532	43466
18073	33389	3329	9382	13331	33389
18075	21330	1889	5697	7962	21330
18077	32458	4325	8538	13461	32458
18079	28241	2364	8222	11115	28241
18081	145535	17318	45456	66229	145535
18083	37954	3772	11077	15483	37954
18085	77963	6311	23909	31907	77963
18087	37996	2080	7025	9552	37996
18089	491456	116896	75565	200247	491456
18091	111281	19795	22678	44994	111281
18093	45844	4210	14034	19076	45844
18095	130482	18595	32376	53660	130482
18097	928281	212676	130228	361070	928281
18099	47109	4798	12286	18008	47109
18101	10160	881	3695	4807	10160
18103	36140	2766	9975	13440	36140
18105	141888	34183	20527	57623	141888
18107	38177	3362	11051	15101	38177
18109	69782	6037	23671	31180	69782
18111	14087	1403	4074	5791	14087
18113	47570	3904	12198	16890	47570
18115	5994	686	2118	2917	5994
18117	19773	2048	5800	8189	19773
18119	21201	1946	6151	8520	21201
18121	17202	1441	4863	6576	17202
18123	19558	3062	4556	8025	19558
18125	12683	1297	4398	5977	12683
18127	166557	33531	38719	76492	166557
18129	25486	3515	8393	12448	25486
18131	13007	1327	3854	5437	13007
